sig_z,longitude_mm,latitude_mm,risk_encoded
-0.23733297128390157,0.44035830951408794,0.39454432458827193,1
-0.43826581421454136,0.46454164965291955,0.496319971589648,1
-0.43826581421454136,0.5805175581870152,0.20069694144804018,1
0.5807507463622748,0.20312372396896716,0.6932658587472811,2
-0.23733297128390157,0.5573499387505105,0.286651573667155,1
-0.23733297128390157,0.518298285014291,0.2672659475296311,1
0.8247406270637659,0.5542262147815435,0.18105384649531675,1
-0.43826581421454136,0.5217895059207844,0.44284636214320605,1
-0.03640012835326178,0.5652613311555736,0.2248057886092245,1
0.164532714577378,0.2444875459371172,0.7219647534070228,1
-0.8257791541522038,0.5525979991833401,0.22240422603986332,0
0.164532714577378,0.5628572886892611,0.1908687352954233,0
-0.6391986571451812,0.4217384646794615,0.3778088516003019,1
-0.43826581421454136,0.23513679052674608,0.71963865583522,1
-0.8257791541522038,0.23884748877092665,0.7198117814178543,1
0.164532714577378,0.5801653736218864,0.21142184933635194,1
0.5807507463622748,0.2401694569211923,0.719154792027345,2
1.0256734699944057,0.24491118824009828,0.7213787898965687,2
0.37981790343163496,0.5269548795426706,0.3248768144892796,1
-0.23733297128390157,0.5452378521845658,0.3547387579349226,1
-0.23733297128390157,0.528026745610453,0.32825942202690106,1
-0.8257791541522038,0.5317068191098411,0.3405247036889067,1
-0.23733297128390157,0.5261790526745616,0.32171172370932666,1
-0.03640012835326178,0.5312423438138012,0.32468149331912816,1
-0.23733297128390157,0.5232084524295635,0.3289030940648999,1
0.37981790343163496,0.5790628828093096,0.19642651040973053,1
0.164532714577378,0.5185636994691709,0.13507346739468196,0
-0.43826581421454136,0.5658483054307881,0.1994229147245528,0
-0.8257791541522038,0.5602490812576564,0.2209082434412039,0
0.37981790343163496,0.48551449571253613,0.12013139787810187,1
-0.8257791541522038,0.49951510820743117,0.1702579127269499,0
0.17888506050099515,0.21674663127807303,0.581923913525991,1
-0.43826581421454136,0.5616527153940378,0.22743818528876464,1
-0.23733297128390157,0.41656288280931,0.38131575442801974,1
-0.03640012835326178,0.42270314414046606,0.39252896524171005,1
0.5807507463622748,0.5782207023274806,0.21157277933146895,2
-0.03640012835326178,0.49454879542670405,0.3623118923957918,1
-0.43826581421454136,0.5213607594936711,0.33679140586851336,1
-0.23733297128390157,0.329690690077582,0.3540906467794203,1
-0.43826581421454136,0.5756737443854636,0.21255826341723266,1
-0.9980073052356093,0.594778481012658,0.20948639410485198,1
0.3654655575080178,0.5725091874234378,0.2194122608425445,1
0.5807507463622748,0.584126173948551,0.22552492564478183,2
-0.23733297128390157,0.5627807268272766,0.21767656589869938,1
-0.23733297128390157,0.5530216414863212,0.21589204066231638,0
-0.23733297128390157,0.5654348713760715,0.14749411816930796,0
-0.03640012835326178,0.5647713352388735,0.20925999911217652,1
-0.6391986571451812,0.43226827276439383,0.4702756691969636,0
-0.6391986571451812,0.5876786443446305,0.2158742841923026,1
-0.43826581421454136,0.5630410371580234,0.21412971101345057,0
0.5807507463622748,0.5610912617394854,0.2212234207839482,2
0.164532714577378,0.5656084115965703,0.2155235939095308,0
-1.184587802242632,0.5785728868926094,0.22549385182225778,1
-0.43826581421454136,0.5783432013066552,0.23351977626847786,1
-0.43826581421454136,0.5688393221723151,0.22205353575709152,1
-0.43826581421454136,0.4158687219273167,0.3723221023660496,1
-1.184587802242632,0.5811045324622297,0.20675189772273278,1
-0.8257791541522038,0.5697733768885263,0.2140498068983886,1
-0.23733297128390157,0.5631992650061255,0.20646779420251254,1
-0.23733297128390157,0.5898223764801962,0.21573223243219253,1
-0.23733297128390157,0.5869334422213148,0.2168908421005904,1
-0.03640012835326178,0.5540271539403836,0.21440493629866386,0
-0.6391986571451812,0.43047162106982473,0.14566520175789055,1
-0.43826581421454136,0.5651949775418537,0.2680161583877126,1
-0.43826581421454136,0.5666955900367503,0.2637013361743686,1
-0.8257791541522038,0.5891026949775418,0.20965508056998272,1
0.164532714577378,0.5766843609636583,0.2866737692546722,1
-0.03640012835326178,0.5709779501837486,0.21448484041372579,1
-0.03640012835326178,0.5723560636994689,0.2116482443290274,1
-0.43826581421454136,0.55292976725194,0.06762107692990635,1
-0.23733297128390157,0.5547213148223769,0.21276690193989434,0
-0.6391986571451812,0.5609126173948553,0.2201802281706397,1
-0.8257791541522038,0.5819365046957943,0.22027344963821194,1
0.5807507463622748,0.5681757860351162,0.23442091712167623,2
0.5807507463622748,0.5679154757043694,0.2343188174190971,2
-0.23733297128390157,0.5787974683544306,0.2092156079371421,1
-0.23733297128390157,0.4720600244997959,0.3605140498068984,0
-0.23733297128390157,0.47947121273989346,0.36330181559905894,0
-0.23733297128390157,0.5714679461004488,0.19743862920051497,1
-0.23733297128390157,0.5707227439771332,0.1949438451635815,1
-0.8257791541522038,0.5750510412413226,0.20120743996093576,1
-0.8257791541522038,0.5785320538995506,0.2131974963377281,1
-0.8257791541522038,0.5795426704777462,0.2222710525147601,1
-0.9980073052356093,0.5477337688852595,0.19880587739157457,0
-0.6391986571451812,0.5570385871784396,0.21191903049673727,0
0.6238077841331261,0.23443242139648834,0.5694277977538066,1
0.8534453189110002,0.23348815843201276,0.5688551515958629,1
-0.03640012835326178,0.5626327072274391,0.20885603941936343,0
-0.03640012835326178,0.5652409146590447,0.2088294047143428,1
-0.8257791541522038,0.5560739077174359,0.21437386247613976,0
-0.23733297128390157,0.5627194773376889,0.20939317263727975,1
-0.6391986571451812,0.5822835851367909,0.2219114839969814,1
-0.03640012835326178,0.5849938750510413,0.21887068850712482,1
0.164532714577378,0.5632605144957123,0.2021352155191548,1
0.164532714577378,0.5648274806043281,0.20390198428552403,1
-0.9980073052356093,0.5846416904859124,0.19804234918098285,1
-0.8257791541522038,0.5573091057574517,0.1995738447196697,0
-0.23733297128390157,0.5838301347488768,0.18563501575886715,1
0.8103882811401488,0.5709115965700287,0.22100590402627956,2
0.8103882811401488,0.572116169865251,0.22153859812669247,2
-0.9980073052356093,0.5898223764801962,0.22091268255870739,1
0.3654655575080178,0.5832942017149856,0.20999689261774762,1
0.5807507463622748,0.5825387913434055,0.21153282727393796,2
-0.03640012835326178,0.5658993466721114,0.19841967416877526,1
-0.03640012835326178,0.5675377705185793,0.20062147645048167,1
-0.23733297128390157,0.5871222948142103,0.21820038176410528,1
-0.43826581421454136,0.5694824418129851,0.21255382429972924,1
-0.03640012835326178,0.5844732543895468,0.21400541572335424,1
-0.03640012835326178,0.5836259697835855,0.21399209837084393,1
-0.23733297128390157,0.5670835034708048,0.21855995028188402,0
-0.03640012835326178,0.5603919967333608,0.20650330714254006,1
0.164532714577378,0.5634493670886078,0.20517601100901145,1
0.5807507463622748,0.5701714985708453,0.2074177653482488,2
-0.03640012835326178,0.5766945692119236,0.1968926177475918,1
0.164532714577378,0.32761331155573714,0.6700182003817642,1
0.164532714577378,0.32927215189873404,0.6689528121809385,1
-0.03640012835326178,0.5548540220498159,0.22239534780485642,1
-0.03640012835326178,0.5524091465904446,0.2204909663958805,1
-0.23733297128390157,0.5500765618619843,0.06102898743729748,1
-0.23733297128390157,0.5502909350755409,0.06131753007502108,1
